I_wcm2,lambda_nm,R,T,P,branchA_status
0.0,400.0,0.06467764400556704,0.17410531441338992,0.761217041581043,ok
0.0,405.0,0.0660317473384623,0.17710762611995892,0.7568606265415788,ok
0.0,410.0,0.06756726897401866,0.18010235175518424,0.7523303792707972,ok
0.0,415.0,0.06920325042645961,0.18341373129478936,0.7473830182787511,ok
0.0,420.0,0.07086343330468961,0.18734902866773118,0.7417875380275792,ok
0.0,425.0,0.07253200751206207,0.19133326437720202,0.7361347281107359,ok
0.0,430.0,0.07415052585318496,0.19535782208779665,0.7304916520590184,ok
0.0,435.0,0.07547244419975149,0.1983380371783381,0.7261895186219104,ok
0.0,440.0,0.07655431417624722,0.20123225732842998,0.7222134284953228,ok
0.0,445.0,0.07738572991698386,0.20414802086743553,0.7184662492155806,ok
0.0,450.0,0.0779497463425132,0.2070785337030856,0.7149717199544012,ok
0.0,455.0,0.07815361776512371,0.21142303686874525,0.710423345366131,ok
0.0,460.0,0.07804306777443051,0.21620999344079941,0.7057469387847701,ok
0.0,465.0,0.07763079494288959,0.2211566110592596,0.7012125939978509,ok
0.0,470.0,0.07691246502135213,0.22628008493237303,0.6968074500462748,ok
0.0,475.0,0.07524747448440905,0.22598391640071533,0.6987686091148756,ok
0.0,480.0,0.07292481570365886,0.22347917164057293,0.7035960126557682,ok
0.0,485.0,0.0701581817412218,0.22094324482142563,0.7088985734373525,ok
0.0,490.0,0.06687775791452284,0.21842370519291757,0.7146985368925596,ok
0.0,495.0,0.06283747642397214,0.21601030470020177,0.7211522188758261,ok
0.0,500.0,0.05512208861572386,0.20028219609692427,0.7445957152873519,ok
0.0,505.0,0.0540810044856713,0.1776574100397839,0.7682615854745448,ok
0.0,510.0,0.05290509638469085,0.1545152108351835,0.7925796927801256,ok
0.0,515.0,0.052425825023247656,0.13050516077784072,0.8170690141989116,ok
0.0,520.0,0.05330249881527158,0.10600066735823874,0.8406968338264896,ok
0.0,525.0,0.059125811741193086,0.08134534392677001,0.8595288443320368,ok
0.0,530.0,0.06911101509077439,0.059495109774656586,0.8713938751345691,ok
0.0,535.0,0.08350942735339821,0.04140395310623026,0.8750866195403716,ok
0.0,540.0,0.10257847272492628,0.02740210153769183,0.8700194257373819,ok
0.0,545.0,0.12571446319288385,0.017346533660580168,0.856939003146536,ok
0.0,550.0,0.15102226385688805,0.010753001672775665,0.8382247344703362,ok
0.0,555.0,0.1752741680738913,0.006880900383190685,0.817844931542918,ok
0.0,560.0,0.1966495799127033,0.004731548052329183,0.7986188720349675,ok
0.0,565.0,0.21308587996632805,0.003770086455130602,0.7831440335785415,ok
0.0,570.0,0.2232489012769683,0.00377863286677415,0.7729724658562576,ok
0.0,575.0,0.2267957851086966,0.0050031664314964044,0.768201048459807,ok
0.0,580.0,0.22433415053505168,0.008488120360701342,0.767177729104247,ok
0.0,585.0,0.2155765978659945,0.017298426026854545,0.767124976107151,ok
0.0,590.0,0.20271401179161183,0.03575673228728843,0.7615292559210998,ok
0.0,595.0,0.1892476915387664,0.06667300656587438,0.7440793018953592,ok
0.0,600.0,0.17926016099558445,0.109596298206455,0.7111435407979606,ok
0.0,605.0,0.17771249774525016,0.1598888351248504,0.6623986671298994,ok
0.0,610.0,0.18766212473756183,0.21201471685257633,0.6003231584098618,ok
0.0,615.0,0.20641800881962719,0.262940533405947,0.5306414577744258,ok
0.0,620.0,0.2256784600491639,0.3099543942344635,0.46436714571637255,ok
0.0,625.0,0.23952926297123184,0.3532556090524435,0.4072151279763247,ok
0.0,630.0,0.24604403721282153,0.3938729175284973,0.3600830452586812,ok
0.0,635.0,0.2455456839515911,0.4323200107679312,0.32213430528047776,ok
0.0,640.0,0.24015660142242268,0.4685813410621277,0.29126205751544965,ok
0.0,645.0,0.2339162558375943,0.5014865094537566,0.26459723470864915,ok
0.0,650.0,0.23191668743175609,0.5290196878472362,0.23906362472100773,ok
0.0,655.0,0.23684342956799118,0.5502512498615593,0.21290532057044953,ok
0.0,660.0,0.24604460885654672,0.5665431585223892,0.1874122326210641,ok
0.0,665.0,0.2531767061495349,0.5779478087671044,0.1688754850833607,ok
0.0,670.0,0.2560395948406011,0.5910163897282447,0.1529440154311542,ok
0.0,675.0,0.2544014300671292,0.60596940748274,0.1396291624501309,ok
0.0,680.0,0.24911853457443833,0.6223750192206858,0.12850644620487583,ok
0.0,685.0,0.2411990454085322,0.6396998098219793,0.11910114476948852,ok
0.0,690.0,0.2314848075464691,0.6574945429639569,0.11102064948957402,ok
0.0,695.0,0.22061090927781454,0.6754183662809725,0.10397072444121291,ok
0.0,700.0,0.20904564279583807,0.6932162576706451,0.09773809953351686,ok
0.0,705.0,0.19708939360297936,0.7106368901664368,0.09227371623058378,ok
0.0,710.0,0.1846637378423023,0.727092675176826,0.08824358698087176,ok
0.0,715.0,0.17252326640002805,0.7428720240261115,0.08460470957386046,ok
0.0,720.0,0.1610023500495708,0.7576479322049109,0.08134971774551836,ok
0.0,725.0,0.15263681899462966,0.7683588334060417,0.07900434759932862,ok
0.0,730.0,0.13480251174544017,0.7894024610774452,0.07579502717711473,ok
0.0,735.0,0.12059274993573157,0.8065146846420361,0.07289256542223232,ok
0.0,740.0,0.10760804579013197,0.8221932382733269,0.07019871593654115,ok
0.0,745.0,0.095602004120669,0.8367146389026743,0.06768335697665673,ok
0.0,750.0,0.08447360925647802,0.8501981217519926,0.06532826899152933,ok
0.0,755.0,0.0741661763134299,0.8627123047932888,0.06312151889328133,ok
0.0,760.0,0.06447387090517606,0.8744095041024149,0.061116624992409,ok
0.0,765.0,0.0555382611643915,0.885201403868738,0.05926033496687044,ok
0.0,770.0,0.04737251817413685,0.8950909269351446,0.057536554890718516,ok
0.0,775.0,0.03994471207017687,0.9041070183317078,0.055948269598115274,ok
0.0,780.0,0.03322443430779463,0.9122731870937989,0.054502378598406453,ok
0.0,785.0,0.027182626887649688,0.919606675290623,0.05321069782172727,ok
0.0,790.0,0.02179198055879405,0.926116374320362,0.052091645120843966,ok
0.0,795.0,0.017027973636047817,0.9317990419482908,0.05117298441566143,ok
0.0,800.0,0.012870855948918208,0.9366328314485385,0.05049631260254328,ok
0.0,805.0,0.00930926741671755,0.9405661725938105,0.05012455998947196,ok
0.0,810.0,0.006346949495801809,0.9434980973419496,0.050154953162248606,ok
0.0,815.0,0.004015697387688942,0.9452419109842135,0.05074239162809757,ok
0.0,820.0,0.0024016980011471335,0.9454544581789175,0.05214384381993542,ok
0.0,825.0,0.0016955135854852864,0.9437646208719048,0.05453986554260992,ok
0.0,830.0,0.0023849477437367012,0.9386341893846422,0.05898086287162119,ok
0.0,835.0,0.005557381939806643,0.927184635604033,0.06725798245616044,ok
0.0,840.0,0.013997997747584057,0.902739551320327,0.08326245093208895,ok
0.0,845.0,0.035825246812768156,0.8471600015466313,0.1170147516406006,ok
0.0,850.0,0.09781759571164113,0.7052936967338291,0.1968887075545297,ok
0.0,855.0,0.2684589563739948,0.35912580698144403,0.3724152366445612,ok
0.0,860.0,0.38549063657168164,0.20460539734404265,0.40990396608427565,ok
0.0,865.0,0.24066786078399083,0.544448790451064,0.2148833487649452,ok
0.0,870.0,0.14358545143416535,0.7414033977947718,0.11501115077106283,ok
0.0,875.0,0.09859794123621361,0.8277368229834161,0.07366523578037032,ok
0.0,880.0,0.07611489037901663,0.8699262207908104,0.05395888883017297,ok
0.0,885.0,0.06393214885335931,0.8929271948722342,0.04314065627440655,ok
0.0,890.0,0.05706024000839202,0.9064369923920959,0.0365027675995121,ok
0.0,895.0,0.05323615522793239,0.9144692411135696,0.03229460365849801,ok
1000000.0,400.0,0.06468249317336427,0.17415067892050035,0.7611668279061354,ok
1000000.0,405.0,0.06603634276621831,0.17715345263960477,0.7568102045941769,ok
1000000.0,410.0,0.0675720455312758,0.18014851343752622,0.7522794410311979,ok
1000000.0,415.0,0.06920867345662209,0.18345990152861014,0.7473314250147678,ok
1000000.0,420.0,0.0708699600418469,0.18739465081402015,0.741735389144133,ok
1000000.0,425.0,0.07253998821178964,0.19137841184663068,0.7360815999415797,ok
1000000.0,430.0,0.07416022054567455,0.1954025920655534,0.7304371873887721,ok
1000000.0,435.0,0.07548464161280324,0.19838233827272334,0.7261330201144734,ok
1000000.0,440.0,0.07656928361937768,0.2012760309771586,0.7221546854034637,ok
1000000.0,445.0,0.07740360886780098,0.20419117236367273,0.7184052187685264,ok
1000000.0,450.0,0.07797062044880795,0.20712091726062828,0.7149084622905637,ok
1000000.0,455.0,0.07817761363674466,0.21146283192291668,0.7103595544403386,ok
1000000.0,460.0,0.07807020446605328,0.2162463486320437,0.705683446901903,ok
1000000.0,465.0,0.07766104367068752,0.221188940285953,0.7011500160433595,ok
1000000.0,470.0,0.07694577195546688,0.22630773407643692,0.6967464939680962,ok
1000000.0,475.0,0.07528590563088285,0.226008568551714,0.6987055258174031,ok
1000000.0,480.0,0.07296977646907257,0.2235006125421504,0.7035296109887771,ok
1000000.0,485.0,0.07021043441693818,0.22095987985454704,0.7088296857285148,ok
1000000.0,490.0,0.06693817363926162,0.21843337700061383,0.7146284493601246,ok
1000000.0,495.0,0.06290706521695413,0.2160100737243659,0.72108286105868,ok
1000000.0,500.0,0.055208035373539716,0.20028869125839457,0.7445032733680658,ok
1000000.0,505.0,0.05418843851303482,0.17768361944212305,0.7681279420448421,ok
1000000.0,510.0,0.05304146303654887,0.1545705542973699,0.7923879826660812,ok
1000000.0,515.0,0.052599341471546476,0.13060511725452187,0.8167955412739317,ok
1000000.0,520.0,0.05351632822930554,0.1061681255328839,0.8403155462378106,ok
1000000.0,525.0,0.05932307084625267,0.0816465821942436,0.8590303469595038,ok
1000000.0,530.0,0.0691922424302723,0.05994762915951838,0.8708601284102093,ok
1000000.0,535.0,0.08330396322198552,0.04199298558595376,0.8747030511920607,ok
1000000.0,540.0,0.10183191168197286,0.02808570366451923,0.870082384653508,ok
1000000.0,545.0,0.12412783725687347,0.018062246597478123,0.8578099161456484,ok
1000000.0,550.0,0.1483858980745707,0.011435209200097192,0.8401788927253321,ok
1000000.0,555.0,0.17168015357161273,0.007484875912008756,0.8208349705163785,ok
1000000.0,560.0,0.19243419859571703,0.00524447054564167,0.8023213308586413,ok
1000000.0,565.0,0.20880010602804955,0.004205737128363713,0.7869941568435868,ok
1000000.0,570.0,0.21944900478761806,0.004163698126741056,0.7763872970856408,ok
1000000.0,575.0,0.2238320632937571,0.005356097877422168,0.7708118388288207,ok
1000000.0,580.0,0.22228399643386015,0.008785789742097639,0.7689302138240423,ok
1000000.0,585.0,0.21439570371721758,0.017431739696942585,0.7681725565858398,ok
1000000.0,590.0,0.20223687852385955,0.03554176542177238,0.7622213560543681,ok
1000000.0,595.0,0.18927092305465204,0.06597720340690914,0.7447518735384387,ok
1000000.0,600.0,0.17954863587273368,0.10845484748273705,0.7119965166445293,ok
1000000.0,605.0,0.17800791794586449,0.1585036798808254,0.6634884021733102,ok
1000000.0,610.0,0.18774939241979594,0.21060459799195014,0.6016460095882539,ok
1000000.0,615.0,0.20624018877026967,0.261618524179103,0.5321412870506275,ok
1000000.0,620.0,0.22535043400217344,0.30875868318348426,0.46589088281434227,ok
1000000.0,625.0,0.23917684371648354,0.3521953052907027,0.4086278509928138,ok
1000000.0,630.0,0.24574108428202143,0.39293648862213043,0.3613224270958481,ok
1000000.0,635.0,0.24532522708487164,0.43148404040875604,0.32319073250637237,ok
1000000.0,640.0,0.2400240538972617,0.4678245928462702,0.2921513532564681,ok
1000000.0,645.0,0.23385035069959995,0.5008021245239436,0.2653475247764565,ok
1000000.0,650.0,0.23187250862788855,0.5284188521073275,0.23970863926478392,ok
1000000.0,655.0,0.23677908805904235,0.5497478405511329,0.21347307138982474,ok
1000000.0,660.0,0.24595131361826267,0.566134072323959,0.18791461405777832,ok
1000000.0,665.0,0.25307297543981583,0.5776178677542586,0.16930915680592562,ok
1000000.0,670.0,0.25594193721941744,0.5907417152412577,0.15331634753932488,ok
1000000.0,675.0,0.2543172011327082,0.6057341958667818,0.13994860300051004,ok
1000000.0,680.0,0.2490490252117885,0.622169601914263,0.12878137287394853,ok
1000000.0,685.0,0.24114293906397544,0.6395181139288233,0.11933894700720127,ok
1000000.0,690.0,0.2314400380850435,0.6573324833476292,0.1112274785673274,ok
1000000.0,695.0,0.22057542307430308,0.6752729894459877,0.1041515874797092,ok
1000000.0,700.0,0.20901764646992815,0.6930852987142021,0.09789705481586974,ok
1000000.0,705.0,0.19706741424433266,0.7105186340126111,0.09241395174305622,ok
1000000.0,710.0,0.18464666177227393,0.7269863716816802,0.08836696654604581,ok
1000000.0,715.0,0.1725100369164422,0.7427761844290631,0.0847137786544947,ok
1000000.0,720.0,0.16099210983256673,0.7575612695057656,0.08144662066166763,ok
1000000.0,725.0,0.1526286360845928,0.7682799030324458,0.07909146088296148,ok
1000000.0,730.0,0.1347966256117009,0.789330766768,0.07587260762029913,ok
1000000.0,735.0,0.12058850734111279,0.8064495552008499,0.07296193745803725,ok
1000000.0,740.0,0.10760505661002742,0.8221340002826831,0.07026094310728948,ok
1000000.0,745.0,0.09559997407481746,0.8366606911824891,0.06773933474269345,ok
1000000.0,750.0,0.08447231039859446,0.8501489290659378,0.06537876053546776,ok
1000000.0,755.0,0.07416543030655486,0.8626673896212874,0.06316718007215771,ok
1000000.0,760.0,0.06447354374170591,0.8743687239538255,0.06115773230446864,ok
1000000.0,765.0,0.05553823723097233,0.8851643757526544,0.059297387016373326,ok
1000000.0,770.0,0.047372706589586484,0.8950572396505813,0.05757005375983226,ok
1000000.0,775.0,0.039945043288488344,0.9040763048876367,0.05597865182387496,ok
1000000.0,780.0,0.03322485551155216,0.9122451179308053,0.0545300265576425,ok
1000000.0,785.0,0.02718309843496858,0.9195809521481282,0.05323594941690324,ok
1000000.0,790.0,0.021792473242926328,0.926092724455131,0.05211480230194265,ok
1000000.0,795.0,0.01702846658979362,0.9317772123602465,0.05119432104995991,ok
1000000.0,800.0,0.012871335080837248,0.9366125826566759,0.05051608226248683,ok
1000000.0,805.0,0.009309724312379397,0.9405472712798497,0.050143004407770864,ok
1000000.0,810.0,0.006347380761142326,0.9434803067465815,0.05017231249227627,ok
1000000.0,815.0,0.004016104453935337,0.9452249771021545,0.05075891844391023,ok
1000000.0,820.0,0.0024020874286426706,0.9454380881405597,0.052159824430797586,ok
1000000.0,825.0,0.0016958950259386095,0.9437485259070709,0.05455557906699049,ok
1000000.0,830.0,0.0023853385650259803,0.9386178665674508,0.058996794867523183,ok
1000000.0,835.0,0.0055577978569621945,0.9271672963224316,0.06727490582060625,ok
1000000.0,840.0,0.013998394738911261,0.9027199407475607,0.08328166451352803,ok
1000000.0,845.0,0.03582513839748277,0.8471363475960547,0.11703851400646248,ok
1000000.0,850.0,0.09781318820081891,0.705267272591716,0.1969195392074652,ok
1000000.0,855.0,0.2684264188966601,0.35913119055042114,0.3724423905529188,ok
1000000.0,860.0,0.3854400468726415,0.2046337483079111,0.40992620481944736,ok
1000000.0,865.0,0.24065593443729652,0.5444333765365299,0.2149106890261736,ok
1000000.0,870.0,0.14358380334341592,0.7413869752417244,0.11502922141485972,ok
1000000.0,875.0,0.09859814125130895,0.8277245979613104,0.07367726078738068,ok
1000000.0,880.0,0.07611540395770314,0.8699169988874451,0.053967597154851776,ok
1000000.0,885.0,0.0639326613718605,0.8929199190507465,0.04314741957739299,ok
1000000.0,890.0,0.057060686540071855,0.9064310263953675,0.03650828706456055,ok
1000000.0,895.0,0.05323652838362711,0.9144642135632227,0.03229925805315015,ok
5000000.0,400.0,0.06470167240754571,0.17433193742138045,0.7609663901710738,ok
5000000.0,405.0,0.06605449158554232,0.17733655398100256,0.7566089544334551,ok
5000000.0,410.0,0.06759089431684424,0.18033294737265618,0.7520761583104996,ok
5000000.0,415.0,0.06923007624304987,0.1836443677322222,0.7471255560247279,ok
