N,target_deg,sigma_deg,metric,mean,std,p05,p95,analytic_eta_target
16,30.0,0.0,pointing_error_deg,0.0,0.0,0.0,0.0,
16,30.0,0.0,sll_db,-13.147194689319782,0.0,-13.147194689319782,-13.147194689319782,
16,30.0,0.0,eta_target,1.0,0.0,1.0,1.0,1.0
16,30.0,0.0,eta_peak,1.0,0.0,1.0,1.0,
16,30.0,0.0,eta_coherent,1.0,0.0,1.0,1.0,
16,30.0,2.0,pointing_error_deg,0.0020000000000008813,0.03458323293158202,-0.004999999999999698,0.10000000000000853,
16,30.0,2.0,sll_db,-12.954619014253886,0.13719080344329976,-13.115163188986498,-12.712755874093908,
16,30.0,2.0,eta_target,0.9989392033808915,0.00038640697295341055,0.9982275253140697,0.9993963179200722,0.9988583803315193
16,30.0,2.0,eta_peak,0.9989595903095768,0.0003789948215089669,0.9982994539281728,0.9994278344667532,
16,30.0,2.0,eta_coherent,0.9989595903095768,0.0003789948215089669,0.9982994539281728,0.9994278344667532,
16,30.0,5.0,pointing_error_deg,0.0030000000000036664,0.0876983466206749,-0.09999999999999432,0.20000000000000284,
16,30.0,5.0,sll_db,-12.671121264101567,0.2631096710537714,-13.07299979515615,-12.222754567318773,
16,30.0,5.0,eta_target,0.9931737493603504,0.0024447093690796924,0.9892959004911542,0.9965730043132769,0.992887645435748
16,30.0,5.0,eta_peak,0.9934900905285005,0.002462596656649545,0.9893495921793803,0.9967673780559416,
16,30.0,5.0,eta_coherent,0.9934900905285005,0.002462596656649545,0.9893495921793803,0.9967673780559416,
16,30.0,10.0,pointing_error_deg,-0.014999999999994032,0.21511624764298962,-0.3999999999999915,0.30000000000001137,
16,30.0,10.0,sll_db,-12.075281899430427,0.6395635943455665,-13.010610669424487,-11.03136511032674,
16,30.0,10.0,eta_target,0.9717119473068938,0.010231790258929315,0.9539523214298613,0.9857523674822584,0.9718726951974738
16,30.0,10.0,eta_peak,0.9738164046960286,0.010068373228968903,0.9562291683569754,0.9878518748703258,
16,30.0,10.0,eta_coherent,0.9738164046960286,0.010068373228968903,0.9562291683569754,0.9878518748703258,
16,30.0,20.0,pointing_error_deg,0.0150000000000054,0.3943031828428472,-0.6999999999999886,0.6000000000000085,
16,30.0,20.0,sll_db,-11.249245878416122,1.0442433362518493,-12.799676434007454,-9.333121248416914,
16,30.0,20.0,eta_target,0.8955967236325241,0.03301565440674153,0.8452150887022913,0.9493517980396842,0.8924535952828442
16,30.0,20.0,eta_peak,0.9025467220786755,0.03164158845809487,0.8528239639317334,0.953572266520019,
16,30.0,20.0,eta_coherent,0.9025467220786755,0.03164158845809487,0.8528239639317334,0.953572266520019,
16,30.0,30.0,pointing_error_deg,0.025000000000005542,0.5680448925921254,-0.9049999999999919,0.8050000000000108,
16,30.0,30.0,sll_db,-9.260876564799858,1.4233166371979682,-11.454825245985692,-7.005750800356383,
16,30.0,30.0,eta_target,0.779150246315873,0.06702140224270357,0.6630156605112038,0.8816847438345822,0.7752003602903978
16,30.0,30.0,eta_peak,0.7912294248899534,0.06596341910480573,0.6704466930299573,0.8836293425416114,
16,30.0,30.0,eta_coherent,0.7912294248899534,0.06596341910480573,0.6704466930299573,0.8836293425416114,
32,30.0,0.0,pointing_error_deg,0.0,0.0,0.0,0.0,
32,30.0,0.0,sll_db,-13.233449312899314,0.0,-13.233449312899314,-13.233449312899314,
32,30.0,0.0,eta_target,1.0,0.0,1.0,1.0,1.0
32,30.0,0.0,eta_peak,1.0,0.0,1.0,1.0,
32,30.0,0.0,eta_coherent,1.0,0.0,1.0,1.0,
32,30.0,2.0,pointing_error_deg,0.0,0.0,0.0,0.0,
32,30.0,2.0,sll_db,-13.095437605257539,0.11349539861091085,-13.23093859140959,-12.860104908697348,
32,30.0,2.0,eta_target,0.9988013579603734,0.00030500167797268125,0.9983474981486118,0.999263557747953,0.99882032634257
32,30.0,2.0,eta_peak,0.9988013579603734,0.00030500167797268125,0.9983474981486118,0.999263557747953,
32,30.0,2.0,eta_coherent,0.9988013579603734,0.00030500167797268125,0.9983474981486118,0.999263557747953,
32,30.0,5.0,pointing_error_deg,-0.000999999999998522,0.04581484475582176,-0.09999999999999432,0.10000000000000853,
32,30.0,5.0,sll_db,-12.93647916093535,0.18297995381542106,-13.155949447216525,-12.62749654802915,
32,30.0,5.0,eta_target,0.992677660223936,0.0019085553344374792,0.98901710804202,0.9954281851779272,0.992650566950273
32,30.0,5.0,eta_peak,0.9928042172745302,0.0018692289807339252,0.98901710804202,0.9954281851779272,
32,30.0,5.0,eta_coherent,0.9928042172745302,0.0018692289807339252,0.98901710804202,0.9954281851779272,
32,30.0,10.0,pointing_error_deg,0.01700000000000401,0.07880989785553719,-0.09999999999999432,0.10000000000000853,
32,30.0,10.0,sll_db,-12.608685033473048,0.4414537528570207,-13.185962298569576,-11.769539524333089,
32,30.0,10.0,eta_target,0.9707444534174984,0.006973090635613566,0.959512647172388,0.9809061343441697,0.9709351183707229
32,30.0,10.0,eta_peak,0.9715516578106862,0.006804090833405155,0.9604226380471459,0.9822210803661083,
32,30.0,10.0,eta_coherent,0.9715516578106862,0.006804090833405155,0.9604226380471459,0.9822210803661083,
32,30.0,20.0,pointing_error_deg,-0.0009999999999949693,0.12999615378925594,-0.19999999999998863,0.20000000000000284,
32,30.0,20.0,sll_db,-11.746645031157025,0.9577885188811126,-13.129716604021526,-9.974054030062781,
32,30.0,20.0,eta_target,0.8853099873544938,0.02894030271864494,0.8392317811246247,0.9276960733014821,0.8888687151256057
32,30.0,20.0,eta_peak,0.8878826503756636,0.028788531011046697,0.840704398167015,0.9295721746104842,
32,30.0,20.0,eta_coherent,0.8878826503756636,0.028788531011046697,0.840704398167015,0.9295721746104842,
32,30.0,30.0,pointing_error_deg,-0.05199999999999377,0.23085926448812946,-0.3999999999999915,0.3050000000000108,
32,30.0,30.0,sll_db,-10.876255489110672,1.3280807128554355,-12.673671476566946,-8.441487650154958,
32,30.0,30.0,eta_target,0.7619315297854095,0.04554464230328592,0.685540776980515,0.8269826911984447,0.7677070389667444
32,30.0,30.0,eta_peak,0.769981276445267,0.045123275250443726,0.6860129884226842,0.8335956846263012,
32,30.0,30.0,eta_coherent,0.769981276445267,0.045123275250443726,0.6860129884226842,0.8335956846263012,
64,30.0,0.0,pointing_error_deg,0.0,0.0,0.0,0.0,
64,30.0,0.0,sll_db,-13.25448657145011,0.0,-13.25448657145011,-13.25448657145011,
64,30.0,0.0,eta_target,1.0,0.0,1.0,1.0,1.0
64,30.0,0.0,eta_peak,1.0,0.0,1.0,1.0,
64,30.0,0.0,eta_coherent,1.0,0.0,1.0,1.0,
64,30.0,2.0,pointing_error_deg,0.0,0.0,0.0,0.0,
64,30.0,2.0,sll_db,-13.159244263721755,0.07155032422266738,-13.24542027211263,-13.026604832307365,
64,30.0,2.0,eta_target,0.9988170404191841,0.00019412182479650243,0.9984787358829291,0.9991306601728944,0.9988012993480953
64,30.0,2.0,eta_peak,0.9988170404191841,0.00019412182479650243,0.9984787358829291,0.9991306601728944,
64,30.0,2.0,eta_coherent,0.9988170404191841,0.00019412182479650243,0.9984787358829291,0.9991306601728944,
64,30.0,5.0,pointing_error_deg,0.0,0.0,0.0,0.0,
64,30.0,5.0,sll_db,-13.029829267897963,0.1816824541900538,-13.240380823001978,-12.660135319541943,
64,30.0,5.0,eta_target,0.9924982489708163,0.0014179927335367165,0.9896185732969681,0.9948527512721298,0.9925320277075355
64,30.0,5.0,eta_peak,0.9924982489708163,0.0014179927335367165,0.9896185732969681,0.9948527512721298,
64,30.0,5.0,eta_coherent,0.9924982489708163,0.0014179927335367165,0.9896185732969681,0.9948527512721298,
64,30.0,10.0,pointing_error_deg,0.0010000000000002273,0.017291616465791228,0.0,0.0,
64,30.0,10.0,sll_db,-12.78709833314922,0.3138072899593841,-13.167950548974405,-12.244145066484341,
64,30.0,10.0,eta_target,0.9710676148164069,0.0048060366859774845,0.9612577962340386,0.9775824940056886,0.9704663299573474
64,30.0,10.0,eta_peak,0.9710931908521593,0.0047979166355295,0.9612577962340386,0.9775824940056886,
64,30.0,10.0,eta_coherent,0.9710931908521593,0.0047979166355295,0.9612577962340386,0.9775824940056886,
64,30.0,20.0,pointing_error_deg,0.001000000000002359,0.05743692192309842,-0.09999999999999432,0.10000000000000853,
64,30.0,20.0,sll_db,-12.314199676714033,0.6330198637741409,-13.229640419488957,-11.14883045250979,
64,30.0,20.0,eta_target,0.8855136719461346,0.01692386006213283,0.8551355941154861,0.9120024004365584,0.8870762750469864
64,30.0,20.0,eta_peak,0.8864354016328921,0.01685199557807992,0.8551355941154861,0.9121637246302066,
64,30.0,20.0,eta_coherent,0.8864354016328921,0.01685199557807992,0.8551355941154861,0.9121637246302066,
64,30.0,30.0,pointing_error_deg,0.009000000000003183,0.07886063656857019,-0.09999999999999432,0.10500000000000796,
64,30.0,30.0,sll_db,-11.633731379796187,0.9316463032484273,-12.95074382175441,-10.02218057061532,
64,30.0,30.0,eta_target,0.7575883459282103,0.03783053979619586,0.6926693312585064,0.8149823730673521,0.7639603783049177
64,30.0,30.0,eta_peak,0.7603047562160308,0.03816763189366992,0.6946378931624771,0.8159914065660713,
64,30.0,30.0,eta_coherent,0.7603047562160308,0.03816763189366992,0.6946378931624771,0.8159914065660713,
